country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","24-09-2024 10:00:00",26.10887,91.589544,OZONE,3,35,13
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","24-09-2024 10:00:00",26.349082,92.68449,OZONE,2,14,9
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","24-09-2024 10:00:00",26.1209,85.3647,OZONE,38,60,38
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","24-09-2024 10:00:00",25.586562,85.043586,OZONE,16,17,17
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","24-09-2024 10:00:00",27.308328,84.531742,OZONE,1,18,5
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","24-09-2024 10:00:00",21.224231,81.408350,OZONE,2,46,14
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","24-09-2024 10:00:00",22.118125,83.140608,OZONE,8,54,16
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","24-09-2024 10:00:00",22.126650,83.483212,OZONE,4,12,6
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","24-09-2024 10:00:00",14.675886,77.593027,OZONE,6,40,12
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","24-09-2024 10:00:00",21.194815,81.314770,OZONE,7,41,17
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","24-09-2024 10:00:00",25.697189,85.245900,OZONE,8,59,22
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","24-09-2024 10:00:00",27.103358,93.679645,OZONE,3,3,3
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","24-09-2024 10:00:00",21.371751,81.664929,OZONE,3,17,3
India,Delhi,Delhi,"Alipur, Delhi - DPCC","24-09-2024 10:00:00",28.815329,77.153010,OZONE,2,86,10
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","24-09-2024 10:00:00",28.6514781,77.1473105,OZONE,13,170,24
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","24-09-2024 10:00:00",28.710508,77.249485,OZONE,16,96,32
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","24-09-2024 10:00:00",23.002657,72.591912,OZONE,10,47,11
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","24-09-2024 10:00:00",23.020509,72.579261,OZONE,7,45,13
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","24-09-2024 10:00:00",23.076793,72.627874,OZONE,14,42,18
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","24-09-2024 10:00:00",23.043070,72.562968,OZONE,13,40,18
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","24-09-2024 10:00:00",30.379589,76.778328,OZONE,12,68,19
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","24-09-2024 10:00:00",28.567890,77.250515,OZONE,63,237,92
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","24-09-2024 10:00:00",23.163798,72.677768,OZONE,5,25,8
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","24-09-2024 10:00:00",28.732820,77.170633,OZONE,5,65,20
India,Delhi,Delhi,"DTU, Delhi - CPCB","24-09-2024 10:00:00",28.7500499,77.1112615,OZONE,2,72,5
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","24-09-2024 10:00:00",13.328028,75.797056,OZONE,13,49,14
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","24-09-2024 10:00:00",30.7057778,76.8531805555555,OZONE,37,56,41
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","24-09-2024 10:00:00",29.432304,76.972765,OZONE,30,30,30
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","24-09-2024 10:00:00",13.0246342,77.5080115,OZONE,32,32,32
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","24-09-2024 10:00:00",12.917348,77.622813,OZONE,13,16,15
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","24-09-2024 10:00:00",30.1480566,77.2893471,OZONE,8,34,8
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","24-09-2024 10:00:00",28.39072,77.30059,OZONE,9,64,13
India,Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB","24-09-2024 10:00:00",13.008556,76.125258,OZONE,11,32,21
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","24-09-2024 10:00:00",15.888653,74.541751,OZONE,20,21,20
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","24-09-2024 10:00:00",28.4227,77.0667,OZONE,NA,NA,NA
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","24-09-2024 10:00:00",17.930306,77.482194,OZONE,5,18,7
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","24-09-2024 10:00:00",26.259242,78.216432,OZONE,12,124,29
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","24-09-2024 10:00:00",15.347630,76.181767,OZONE,4,21,7
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","24-09-2024 10:00:00",23.264759,77.381568,OZONE,8,60,20
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","24-09-2024 10:00:00",13.940000,75.555917,OZONE,10,61,21
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","24-09-2024 10:00:00",23.168606,79.932247,OZONE,1,32,6
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","24-09-2024 10:00:00",14.816666,74.141003,OZONE,21,22,22
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","24-09-2024 10:00:00",8.8787,76.6073,OZONE,29,34,30
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","24-09-2024 10:00:00",22.6780,75.8559,OZONE,4,33,4
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","24-09-2024 10:00:00",26.203442,78.193251,OZONE,19,25,22
